image_path,true_style,true_type,predicted_style,predicted_type,style_confidence,type_confidence,safeguard_status,recommended_types,recommended_filenames,includes_same_actual_type,structural_validity_score,style_consistency_score,visual_coherence_score,confidence_warning_usefulness_score,overall_quality_score,manual_notes
../dataset/real_world_test\formal\jacket\formal_jacket_rw_001.png,formal,jacket,formal,jacket,0.617458999,0.907645643,reliable,"pants, shoes, tshirt","formal_tshirt_050.png, formal_pants_009.png, formal_shoes_025.png",False,2,2,2,2,2,Correct style and type. Recommendations are structurally valid and match the formal style.
../dataset/real_world_test\formal\jacket\formal_jacket_rw_002.png,formal,jacket,formal,jacket,0.752077103,0.935414553,reliable,"pants, shoes, tshirt","formal_pants_012.png, formal_tshirt_050.png, formal_shoes_016.png",False,2,2,2,2,2,Correct style and type. Recommendations are structurally valid and match the formal style based on the dataset definition of formal tshirts as polo/simple shirts.
../dataset/real_world_test\formal\pants\formal_pants_rw_001.png,formal,pants,formal,pants,0.953331947,0.737623096,reliable,"jacket, shoes, tshirt","formal_tshirt_050.png, formal_jacket_021.png, formal_shoes_037.png",False,2,2,2,2,2,"Correct style and type. Recommendations are structurally valid and visually coherent for the formal category, including the formal polo-style tshirt."
../dataset/real_world_test\formal\pants\formal_pants_rw_002.png,formal,pants,formal,pants,0.694702327,0.573864281,type_uncertain,"jacket, shoes, tshirt","formal_tshirt_050.png, formal_jacket_021.png, formal_shoes_047.png",False,2,2,2,1,2,Correct style and type. Recommendations are structurally valid and visually coherent. The type warning is cautious even though the prediction is correct.
../dataset/real_world_test\formal\shoes\formal_shoes_rw_001.png,formal,shoes,formal,shoes,0.794080377,0.978442252,reliable,"jacket, pants, tshirt","formal_jacket_013.png, formal_pants_002.png, formal_tshirt_011.png",False,2,2,2,2,2,Correct style and type. Recommendations form a coherent formal outfit using the dataset's polo/simple shirt representation for formal tshirts.
../dataset/real_world_test\formal\shoes\formal_shoes_rw_002.png,formal,shoes,gothic,shoes,0.317728966,0.842163086,style_uncertain,"jacket, pants, tshirt","gothic_jacket_008.png, gothic_pants_034.png, gothic_tshirt_022.png",False,2,0,0,2,0,"Type is correct and structure is valid, but style is predicted as gothic instead of formal. The warning is useful because the recommendation uses the wrong style category."
../dataset/real_world_test\formal\tshirt\formal_tshirt_rw_001.png,formal,tshirt,streetwear,tshirt,0.418346286,0.569364488,style_and_type_uncertain,"jacket, pants, shoes","streetwear_jacket_039.png, streetwear_pants_037.png, streetwear_shoes_019.png",False,2,0,0,2,0,"Type is correct and structure is valid, but the style is predicted as streetwear instead of formal. Recommendations are from the wrong style category, and the uncertainty warning is useful."
../dataset/real_world_test\formal\tshirt\formal_tshirt_rw_002.png,formal,tshirt,streetwear,jacket,0.868594885,0.603070557,reliable,"pants, shoes, tshirt","streetwear_pants_021.png, streetwear_tshirt_001.png, streetwear_shoes_019.png",True,0,0,0,0,0,"Style and type are both wrong. The recommender includes a tshirt for a tshirt input, so the structure fails. Status is reliable even though the recommendation is risky."
../dataset/real_world_test\gothic\jacket\gothic_jacket_rw_001.png,gothic,jacket,gothic,jacket,0.97878176,0.813291073,reliable,"pants, shoes, tshirt","gothic_pants_026.png, gothic_tshirt_023.png, gothic_shoes_012.png",False,2,2,2,2,2,Correct style and type. Recommendations are structurally valid and visually coherent for a gothic outfit.
../dataset/real_world_test\gothic\jacket\gothic_jacket_rw_002.png,gothic,jacket,streetwear,jacket,0.573250771,0.956353188,style_uncertain,"pants, shoes, tshirt","streetwear_pants_021.png, streetwear_tshirt_015.png, streetwear_shoes_037.png",False,2,1,1,2,1,"Type is correct and structure is valid. Style is predicted as streetwear instead of gothic, but the dark streetwear items are partially compatible. The style warning is useful."
../dataset/real_world_test\gothic\pants\gothic_pants_rw_001.png,gothic,pants,streetwear,pants,0.548539639,0.752861142,style_uncertain,"jacket, shoes, tshirt","streetwear_jacket_041.png, streetwear_tshirt_004.png, streetwear_shoes_006.png",False,2,1,1,2,1,"Type is correct and structure is valid. Style is predicted as streetwear instead of gothic. Some dark items partially fit, but the outfit is not consistently gothic."
../dataset/real_world_test\gothic\pants\gothic_pants_rw_002.png,gothic,pants,gothic,pants,0.704332948,0.736147463,reliable,"jacket, shoes, tshirt","gothic_jacket_002.png, gothic_shoes_018.png, gothic_tshirt_037.png",False,2,2,2,2,2,Correct style and type. Recommendations are structurally valid and strongly match the gothic style.
../dataset/real_world_test\gothic\shoes\gothic_shoes_rw_001.png,gothic,shoes,sporty,shoes,0.397487879,0.620584011,style_uncertain,"jacket, pants, tshirt","sporty_jacket_035.png, sporty_pants_025.png, sporty_tshirt_013.png",False,2,0,0,2,0,"Type is correct and structure is valid, but the style is predicted as sporty instead of gothic. Recommendations do not match the gothic shoes. The style warning is useful."
../dataset/real_world_test\gothic\shoes\gothic_shoes_rw_002.png,gothic,shoes,streetwear,shoes,0.583230674,0.864962518,style_uncertain,"jacket, pants, tshirt","streetwear_pants_047.png, streetwear_jacket_032.png, streetwear_tshirt_015.png",False,2,0,1,2,1,"Type is correct and structure is valid, but the style is predicted as streetwear instead of gothic. Some dark items partially fit, but the outfit is not consistently gothic. The style warning is useful."
../dataset/real_world_test\gothic\tshirt\gothic_tshirt_rw_001.png,gothic,tshirt,streetwear,tshirt,0.898155987,0.941791236,reliable,"jacket, pants, shoes","streetwear_jacket_040.png, streetwear_pants_028.png, streetwear_shoes_019.png",False,2,1,1,0,1,"Type is correct and structure is valid. Style is predicted as streetwear instead of gothic. The recommendations are partially compatible because of dark streetwear overlap, but the reliable status misses the style error."
../dataset/real_world_test\gothic\tshirt\gothic_tshirt_rw_002.png,gothic,tshirt,streetwear,tshirt,0.867186666,0.986781299,reliable,"jacket, pants, shoes","streetwear_jacket_033.png, streetwear_pants_037.png, streetwear_shoes_029.png",False,2,1,1,0,1,"Type is correct and structure is valid. Style is predicted as streetwear instead of gothic. The outfit is partially usable due to dark streetwear overlap, but the reliable status is misleading."
../dataset/real_world_test\sporty\jacket\sporty_jacket_rw_001.png,sporty,jacket,sporty,jacket,0.427008271,0.978962481,style_uncertain,"pants, shoes, tshirt","sporty_pants_023.png, sporty_tshirt_011.png, sporty_shoes_026.png",False,2,2,2,1,2,Correct style and type. Recommendations are structurally valid and visually coherent for a sporty outfit. The style warning is cautious even though the prediction is correct.
../dataset/real_world_test\sporty\jacket\sporty_jacket_rw_002.png,sporty,jacket,streetwear,jacket,0.392514199,0.549742579,style_and_type_uncertain,"pants, shoes, tshirt","streetwear_pants_037.png, streetwear_tshirt_015.png, streetwear_shoes_038.png",False,2,1,1,2,1,"Type is correct and structure is valid. Style is predicted as streetwear instead of sporty. The outfit is partially usable because sporty and streetwear overlap, and the uncertainty warning is useful."
../dataset/real_world_test\sporty\pants\sporty_pants_rw_001.png,sporty,pants,streetwear,pants,0.693363786,0.871468961,reliable,"jacket, shoes, tshirt","streetwear_jacket_042.png, streetwear_tshirt_007.png, streetwear_shoes_019.png",False,2,1,1,0,1,"Type is correct and structure is valid, but style is predicted as streetwear instead of sporty. Recommendations are partially usable but not clearly sporty. Reliable status misses the style error."
../dataset/real_world_test\sporty\pants\sporty_pants_rw_002.png,sporty,pants,sporty,pants,0.467318803,0.502067983,style_and_type_uncertain,"jacket, shoes, tshirt","sporty_tshirt_023.png, sporty_jacket_032.png, sporty_shoes_021.png",False,2,2,2,1,2,Correct style and type. Recommendations are structurally valid and visually coherent for a sporty outfit. The uncertainty warning is cautious even though the recommendation is good.
